order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
44724,4430,25,Mumbai,Afternoon,Weekday,South Indian,Lunch,Budget,442,No,53,8,5,No,Happy,Medium,Alone,Yes
44725,2579,24,Bangalore,Afternoon,Weekday,Chinese,Breakfast,Budget,815,Yes,50,5,4,Yes,Happy,Medium,Family,Yes
44726,4858,22,Hyderabad,Night,Weekday,Chinese,Snacks,Mid-range,660,No,37,1,5,Yes,Lazy,Medium,Alone,No
44727,1621,26,Mumbai,Morning,Weekend,Desserts,Snacks,Budget,608,No,77,7,4,Yes,Celebrating,High,Family,No
44728,2622,23,Mumbai,Evening,Weekend,Fast Food,Snacks,Budget,815,Yes,45,13,3,No,Happy,Medium,Partner,Yes
44729,3304,32,Hyderabad,Afternoon,Weekend,Biryani,Breakfast,Mid-range,291,Yes,25,3,1,Yes,Happy,High,Partner,Yes
44730,3521,39,Delhi,Afternoon,Weekend,North Indian,Snacks,Mid-range,332,No,63,4,5,Yes,Lazy,Low,Family,Yes
44731,4382,34,Hyderabad,Night,Weekday,Desserts,Dinner,Premium,973,No,83,4,4,Yes,Celebrating,Medium,Friends,Yes
44732,2950,18,Hyderabad,Morning,Weekend,Desserts,Breakfast,Budget,607,No,70,1,1,Yes,Celebrating,Medium,Family,Yes
44733,1720,38,Pune,Night,Weekend,Fast Food,Dinner,Premium,419,Yes,69,9,1,No,Happy,Low,Family,Yes
44734,2503,39,Mumbai,Evening,Weekend,Biryani,Breakfast,Budget,192,No,58,4,3,No,Stressed,High,Family,Yes
44735,2107,29,Pune,Evening,Weekday,South Indian,Breakfast,Budget,211,No,88,4,4,Yes,Stressed,Low,Partner,Yes
44736,3984,41,Chandigarh,Night,Weekend,Chinese,Breakfast,Mid-range,974,No,27,9,4,Yes,Happy,Medium,Alone,Yes
44737,2331,19,Bangalore,Evening,Weekday,Fast Food,Snacks,Premium,296,No,31,7,3,Yes,Happy,Medium,Partner,Yes
44738,4367,38,Pune,Night,Weekday,Chinese,Dinner,Budget,237,No,41,10,3,Yes,Happy,Medium,Partner,Yes
44739,2798,44,Bangalore,Afternoon,Weekend,North Indian,Lunch,Mid-range,231,No,47,13,3,No,Happy,Low,Alone,Yes
44740,4546,42,Bangalore,Evening,Weekday,Desserts,Breakfast,Budget,167,Yes,60,12,3,Yes,Stressed,High,Friends,Yes
44741,3244,36,Delhi,Evening,Weekend,Desserts,Snacks,Mid-range,894,No,53,5,3,No,Celebrating,High,Partner,Yes
44742,4939,33,Mumbai,Evening,Weekend,North Indian,Dinner,Budget,239,No,30,2,1,No,Happy,Low,Family,Yes
44743,1314,28,Pune,Evening,Weekend,Biryani,Snacks,Budget,189,Yes,70,7,3,No,Happy,Medium,Friends,Yes
44744,4751,22,Bangalore,Afternoon,Weekday,Desserts,Breakfast,Mid-range,327,No,21,6,4,No,Celebrating,Medium,Friends,Yes
44745,4060,41,Delhi,Night,Weekday,Fast Food,Breakfast,Premium,541,Yes,66,11,1,No,Celebrating,Medium,Friends,Yes
44746,1696,41,Hyderabad,Night,Weekend,Fast Food,Dinner,Mid-range,669,No,85,11,2,Yes,Lazy,High,Partner,No
44747,1666,26,Bangalore,Morning,Weekday,North Indian,Lunch,Mid-range,936,Yes,37,11,4,Yes,Happy,Medium,Partner,Yes
44748,3905,26,Delhi,Morning,Weekend,Fast Food,Lunch,Premium,668,No,65,5,4,Yes,Lazy,Low,Alone,No
44749,3640,42,Pune,Afternoon,Weekend,South Indian,Snacks,Premium,634,No,56,10,4,No,Lazy,Low,Friends,No
44750,1586,37,Hyderabad,Morning,Weekday,South Indian,Snacks,Premium,859,No,77,4,4,Yes,Stressed,High,Alone,No
44751,4202,31,Pune,Evening,Weekday,Biryani,Snacks,Premium,103,Yes,82,3,1,Yes,Celebrating,High,Alone,No
44752,4827,41,Hyderabad,Afternoon,Weekday,North Indian,Breakfast,Budget,413,No,67,1,1,No,Stressed,Medium,Alone,No
44753,4978,27,Chandigarh,Evening,Weekend,North Indian,Snacks,Budget,105,Yes,66,14,1,Yes,Stressed,High,Friends,Yes
44754,1722,27,Hyderabad,Afternoon,Weekend,Chinese,Lunch,Mid-range,102,No,24,6,1,Yes,Stressed,Low,Alone,No
44755,4734,29,Mumbai,Afternoon,Weekday,Desserts,Lunch,Mid-range,679,No,80,13,4,Yes,Happy,Low,Partner,No
44756,3531,38,Chandigarh,Evening,Weekend,Fast Food,Dinner,Premium,475,Yes,48,12,3,Yes,Happy,Low,Friends,Yes
44757,2286,39,Bangalore,Morning,Weekend,Biryani,Dinner,Budget,244,Yes,28,9,1,No,Celebrating,High,Friends,No
44758,2836,22,Pune,Afternoon,Weekday,Fast Food,Snacks,Budget,529,No,81,11,3,No,Celebrating,High,Alone,No
44759,3747,34,Pune,Afternoon,Weekend,Fast Food,Breakfast,Mid-range,879,Yes,88,3,4,No,Celebrating,High,Family,Yes
44760,3534,30,Chandigarh,Morning,Weekday,Desserts,Lunch,Mid-range,109,Yes,68,10,3,No,Happy,Medium,Friends,Yes
44761,2929,28,Pune,Morning,Weekday,Chinese,Breakfast,Premium,445,No,96,1,4,No,Celebrating,High,Partner,No
44762,1017,24,Bangalore,Night,Weekend,South Indian,Breakfast,Budget,758,Yes,61,10,3,No,Stressed,Low,Family,Yes
44763,1656,41,Pune,Afternoon,Weekend,South Indian,Breakfast,Budget,377,No,66,1,2,No,Lazy,Low,Partner,No
44764,2237,32,Pune,Night,Weekend,North Indian,Lunch,Mid-range,995,No,21,3,2,No,Lazy,High,Partner,Yes
44765,4549,41,Mumbai,Morning,Weekday,Fast Food,Lunch,Premium,945,Yes,30,8,5,Yes,Celebrating,High,Family,No
44766,3068,41,Hyderabad,Evening,Weekend,South Indian,Breakfast,Budget,648,No,80,5,5,No,Celebrating,Low,Family,Yes
44767,4901,42,Mumbai,Afternoon,Weekday,Biryani,Snacks,Premium,867,Yes,20,6,4,Yes,Happy,Low,Alone,No
44768,3827,22,Pune,Morning,Weekend,Desserts,Dinner,Budget,940,Yes,43,14,1,No,Happy,Low,Family,No
44769,2592,22,Bangalore,Night,Weekend,Desserts,Dinner,Budget,371,No,27,12,1,Yes,Celebrating,Low,Friends,No
44770,2974,43,Pune,Afternoon,Weekend,Fast Food,Snacks,Premium,601,No,68,5,2,No,Stressed,Low,Friends,No
44771,3350,20,Chandigarh,Morning,Weekday,Biryani,Breakfast,Mid-range,229,No,31,4,4,Yes,Lazy,Medium,Alone,No
44772,1623,38,Chandigarh,Afternoon,Weekday,Biryani,Dinner,Mid-range,585,No,79,1,5,No,Celebrating,Medium,Alone,No
44773,4296,33,Delhi,Morning,Weekend,Desserts,Lunch,Mid-range,425,Yes,28,7,2,No,Happy,Medium,Friends,No
44774,4124,26,Pune,Afternoon,Weekend,Biryani,Lunch,Premium,543,Yes,27,4,1,Yes,Happy,High,Family,Yes
44775,4428,19,Bangalore,Afternoon,Weekday,Fast Food,Snacks,Premium,121,No,30,11,1,No,Celebrating,Medium,Friends,No
44776,3497,41,Bangalore,Evening,Weekend,North Indian,Lunch,Mid-range,938,Yes,96,2,1,No,Lazy,Medium,Friends,Yes
44777,3501,28,Mumbai,Afternoon,Weekday,Desserts,Dinner,Premium,377,Yes,54,14,3,No,Lazy,High,Friends,Yes
44778,4436,26,Chandigarh,Evening,Weekday,Fast Food,Dinner,Mid-range,335,Yes,74,6,2,No,Celebrating,High,Friends,No
44779,1190,41,Delhi,Night,Weekday,North Indian,Snacks,Budget,811,Yes,62,1,2,No,Lazy,High,Friends,No
44780,2465,18,Pune,Afternoon,Weekday,South Indian,Lunch,Budget,787,No,52,10,4,No,Stressed,Low,Alone,Yes
44781,1466,22,Hyderabad,Morning,Weekend,Fast Food,Breakfast,Premium,259,No,31,10,1,Yes,Happy,Low,Friends,Yes
44782,3108,41,Bangalore,Evening,Weekend,South Indian,Lunch,Mid-range,865,No,94,14,1,No,Lazy,High,Partner,Yes
44783,2571,42,Delhi,Evening,Weekday,Biryani,Dinner,Budget,519,Yes,76,5,1,Yes,Stressed,Low,Family,No
44784,4927,35,Hyderabad,Morning,Weekend,Biryani,Lunch,Mid-range,924,Yes,62,1,3,No,Lazy,High,Partner,Yes
44785,3636,23,Delhi,Afternoon,Weekend,Fast Food,Snacks,Budget,233,Yes,76,12,1,Yes,Celebrating,Medium,Family,Yes
44786,3905,26,Mumbai,Afternoon,Weekday,South Indian,Snacks,Premium,203,No,85,1,5,No,Lazy,Medium,Alone,Yes
44787,3054,18,Pune,Morning,Weekend,Fast Food,Breakfast,Mid-range,950,Yes,42,14,3,Yes,Stressed,Low,Family,Yes
44788,1733,37,Hyderabad,Afternoon,Weekend,Biryani,Breakfast,Budget,155,Yes,97,11,4,No,Stressed,Low,Alone,Yes
44789,2570,41,Delhi,Afternoon,Weekday,Chinese,Snacks,Premium,775,Yes,79,2,5,Yes,Stressed,High,Alone,Yes
44790,1560,44,Delhi,Night,Weekday,Desserts,Breakfast,Budget,482,No,34,6,1,Yes,Celebrating,Medium,Alone,No
